Name,Location,Contact,Rating,PRICE RANGE,CUISINES,MEALS,SPECIAL DIETS,FEATURES,id
Honest Burgers - Brixton,"12 First Avenue Brixton Village, London SW9 8PR England",+44 20 3148 2970,4.5,7.96 - 9.95,"Fast Food, American, British",,"Vegan Options, Vegetarian Friendly, Gluten Free Options",,398
The Port House,"417 Strand, London WC2R 0PD England",+44 20 7836 7764,4.5,,"Mediterranean, European, Spanish, Wine Bar, Catalan","Lunch, Dinner, Brunch, Late Night, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,399
La Fortuna Italian Restaurant,"32 Kensington Church Street, London W8 4HA England",+44 20 7937 8752,4.5,19.91 - 39.81,"Italian, European, Pizza, Mediterranean, Northern-Italian",,"Vegetarian Friendly, Vegan Options",,400
Half Cup,"100-102 Judd Street, London WC1H 9NT England",+44 20 8617 7835,4.5,4.97 - 14.93,"Italian, British, Deli, Cafe, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,401
Thali & Pickles Indian Dining,"5-6 Balham Station Road Balham, London SW12 9SG England",+44 20 8673 3773,4.5,14.93 - 24.88,Indian,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,402
Potli-An Indian Market Kitchen,"319-321 King Street Hammersmith, London W6 9NH England",+44 20 8741 4328,4.5,29.86 - 34.84,Indian,,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,403
Macellaio RC South Kensington,"84 Old Brompton Road, London SW7 3LQ England",+44 20 7589 5834,4.5,29.86 - 49.76,"Steakhouse, Mediterranean, Italian, Healthy",,Gluten Free Options,,404
The Game Bird,"16-18 St. James's Place The Stafford London, London SW1A 1NJ England",+44 20 7493 0111,4.5,,"European, British","Breakfast, Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options",,405
Blighty Cafe (Finsbury Park),"35-37 Blackstock Road, London N4 2JF England",+44 7974 979340,4.5,3.95 - 9.49,"Cafe, British, Healthy",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,406
Coal Office Restaurant,"2 Bagley Walk, London N1C 4PQ England",+44 20 3848 6086,4.5,25.88 - 39.81,"Mediterranean, Middle Eastern, Israeli",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,407
Leila Moroccan and Lebanese Restaurant,"5 Grosvenor Parade, Uxbridge Road, London W5 3NN England",+44 20 8993 2782,4.5,14.93 - 49.76,"Lebanese, Moroccan, Mediterranean, Middle Eastern",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,408
Hankies Cafe,"67 Shaftesbury Avenue Piccadilly, London W1D 6LL England",+44 20 7871 6021,4.5,9.95 - 14.93,Indian,,"Vegetarian Friendly, Vegan Options, Halal",,409
Pied à Terre,"34 Charlotte Street Fitzrovia, London W1T 2NH England",+44 20 7636 1178,4.5,34.84 - 144.31,"French, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,410
The Hawley Arms,"2 Castlehaven Road, London NW1 8QU England",+44 20 7428 5979,4.5,,"Bar, European, British, Pub","Lunch, Dinner, Brunch, Late Night, Drinks",Vegetarian Friendly,,411
La Divina Italian Restaurant,"134 Upper Street Islington, London N1 1QP England",+44 20 8616 4149,4.5,19.91 - 39.81,"Italian, Pizza, Sicilian, Tuscan, Romana, Lazio, Central-Italian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,412
Brasserie Blanc Southbank,"Whitehouse Apartments 9 Belvedere Road King's College London Waterloo Campus, London SE1 8YP England",+44 20 7202 8470,4.0,10.95 - 59.72,"French, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,413
Imad's Syrian Kitchen,"27 Carnaby Street 2.14 Top Floor, Kingly Court,, London W1B 5PW England",+44 20 7434 2448,4.5,,Middle Eastern,"Dinner, Lunch, Brunch",,"Reservations, Seating, Accepts Credit Cards, Table Service, Free Wifi, Family style",414
Nusr-Et Steakhouse London,"101 Knightsbridge, London SW1X 7EZ England",+44 1821 687738,3.0,,Steakhouse,"Lunch, Dinner, Drinks",,"Reservations, Outdoor Seating, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Discover, Accepts Credit Cards, Table Service, Family style",415
The Promenade at The Dorchester,"53 Park Lane The Dorchester, London W1K 1QA England",+44 20 7629 8888,4.5,,"British, International","Breakfast, Lunch, Dinner, Brunch, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options",,416
The London Cabaret Club,"Victoria House 5 Bloomsbury Square 0.2 Miles from The British Museum, London WC1A 2TA England",+44 20 7242 0002,4.0,49.76 - 164.22,"British, Contemporary, International, Grill","Dinner, Drinks",,,417
Gordon Ramsay Street Pizza - St Paul's,"10 Bread Street, London EC4M 9AJ England",+44 20 7499 0120,4.5,11.95 - 24.88,"Bar, Pizza, Italian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,418
Gauthier Soho,"21 Romilly Street, London W1D 5AF England",+44 20 7494 3111,4.5,30.07 - 121.84,"French, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,419
Orrery,"55 Marylebone High Street, London W1U 5RB England",+44 20 7616 8000,4.5,25.88 - 48.77,"French, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,420
Companero,"32 Dalston Lane Dalston, London E8 3AU England",+44 7894 433754,5.0,1.99 - 9.95,"Mediterranean, European, Spanish",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,421
Hispania London,"72-74 Lombard Street, London EC3V 9AY England",+44 20 7621 0338,4.5,,"Mediterranean, European, Spanish","Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options",,422
Stone Cave Cafe Bar & Restaurant,"111 Kingsland High Street Dalston, London E8 2PB England",+44 20 7241 4911,4.5,9.95 - 20.9,"Mediterranean, European, Turkish, Middle Eastern",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,423
Falafel Feast,"377 Regents Park Road opp Station Rd, by Finchley Central Station, London N3 1DE England",+44 20 8346 3361,5.0,,"Cafe, Mediterranean, Middle Eastern, Israeli","Breakfast, Lunch, Brunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options",,424
Salsa Temple,"Temple Station Temple Place Embankment, London WC2R 2PH England",+44 20 7395 3690,4.5,4.97 - 19.91,"Mexican, Latin, Bar",,Vegetarian Friendly,,425
Sheba,"136 Brick Lane, London E1 6RU England",+44 20 7247 7824,4.0,11.95 - 29.86,"Indian, Asian, Bangladeshi",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,426
Honest Burgers South Bank,"9 Festival Terrace, London SE1 8XX England",+44 20 3146 6379,4.5,4.97 - 14.93,"Cafe, Fast Food",,"Vegan Options, Vegetarian Friendly, Gluten Free Options",,427
Naughty piglets,"28 Brixton Water Lane, London SW2 1PE England",+44 20 7274 7796,4.5,,European,"Lunch, Dinner","Vegetarian Friendly, Gluten Free Options",,428
The Bell & Crown,"11-13 Thames Road Chiswick, London W4 3PL England",+44 20 8994 4164,4.5,8.96 - 29.86,"Bar, British, Pub, Gastropub",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,429
Shahi Pakwaan,"25 Aylmer Parade, Aylmer Road,East Finchely, London N2 0PE England",+44 20 8341 1111,4.5,19.91 - 34.84,"Indian, Asian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,430
Iro Sushi,"85 Lillie Road, London SW6 1UD England",+44 20 3643 5217,4.5,14.93 - 99.53,"Japanese, Sushi, Asian, Seafood, Korean","Lunch, Dinner, Brunch, Late Night, Drinks",,,431
Tozi Restaurant & Bar,"8 Gillingham Street, London SW1V 1HJ England",+44 20 7769 9771,4.5,19.91 - 34.84,"Italian, Mediterranean, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,432
Bella Italia,"28 Wellington Street, London WC2E 7PS England",+44 20 3002 9456,4.0,6.97 - 15.92,Italian,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,433
Honest Burgers Waterloo,"39 The Cut, Waterloo, London SE1 8LF England",+44 20 3597 6266,4.5,7.96 - 19.91,"Bar, British, Diner",,"Vegan Options, Vegetarian Friendly, Gluten Free Options",,434
Bella Italia,"Unit 30 Gallions Reach Shopping Park 3 Armada Way Gallions Reach Retail Park, Beckton, London E6 7ER England",+44 20 3004 6684,4.5,2.99 - 12.94,"Italian, Grill",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,435
Emilia's Crafted Pasta (St. Katharine Docks),"Unit C3 Ivory House, St Katharine Docks, East Smithfield, London E1W 1AT England",+44 20 7481 2004,4.5,2.99 - 9.95,Italian,,"Vegetarian Friendly, Vegan Options",,436
Orjowan,"6 Kenway Road Earls Court, London SW5 0RR England",+44 20 7370 3074,4.5,,"Lebanese, Mediterranean, Healthy, Middle Eastern","Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,437
German Doner Kebab - London - Holloway Road,"Naggs Head Shopping Centre, Holloway Road, London N7 6PZ England",+44 20 3989 6461,5.0,,"German, European, Grill, Fusion, Healthy","Lunch, Dinner",,,438
Inca London,"8-9 Argyll Street, London W1F 7TF England",+44 20 7734 6066,4.0,,"South American, Japanese Fusion, Latin, Spanish, Asian","Dinner, Late Night, Drinks",,"Reservations, Private Dining, Accepts Credit Cards",439
Benihana Covent Garden,"31/32 Maiden Lane, London WC2E 7JS England",+44 20 7494 2525,4.5,,Steakhouse,"Lunch, Dinner",,,440
Thai West Cafe,"87 Brewer Street Soho, London W1F 9UX England",+44 20 7734 6742,4.5,5.97 - 7.96,Thai,,"Vegetarian Friendly, Vegan Options",,441
Sugar Cane bar,"247-249 Lavender Hill, London SW11 1JW England",+44 20 7223 8866,4.5,,"Bar, International","Drinks, Dinner, Breakfast",,"Serves Alcohol, Reservations, Seating, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",442
North Sea Fish Restaurant,"7-8 Leigh Street, London WC1H 9EW England",+44 20 7387 5892,4.5,9.95 - 29.86,"Seafood, British",,"Vegetarian Friendly, Gluten Free Options",,443
The Avocado Show - London Princes Street,"6 Princes Street, London W1B 2LG England",+44 7594 561103,4.5,17.92 - 24.88,"International, European, Contemporary, Healthy",,"Vegetarian Friendly, Vegan Options",,444
Oka Restaurant,"16 Carnaby Street 1st Floor Kingly Court, London W1B 5PW England",+44 20 7734 3556,4.5,,"Japanese, Sushi, Asian","Lunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options",,445
Humble Grape Liverpool Street,"8 Devonshire Row off Bishopsgate, London EC2M 4RH England",+44 20 3887 9287,5.0,9.95 - 39.81,"European, Wine Bar",,"Vegetarian Friendly, Gluten Free Options",,446
Honest Burgers - Oxford Circus,"4 Market Place Oxford Circus, London W1W 8AD England",+44 20 3675 0940,4.5,7.96 - 9.95,British,,"Vegan Options, Vegetarian Friendly, Gluten Free Options",,447
Khamsa,"140 Acre Lane, London SW2 5UT England",+44 20 7733 3150,4.5,,Algerian,Dinner,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,448
Al Basha Restaurant,"48 Knightsbridge, London SW1X 7JN England",+44 20 7245 6000,4.5,8.96 - 34.84,Middle Eastern,,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,449
Vasco & Piero's Pavilion Restaurant,"11 D’Arblay Street, London W1F 8DT England",+44 20 7437 8774,4.5,15.82 - 47.47,"Mediterranean, European, Italian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,450
Sinabro Restaurant,"28 Battersea Rise, London SW11 1EE England",+44 20 3302 3120,4.5,41.8 - 41.8,"French, European",,"Vegetarian Friendly, Gluten Free Options",,451
The Greenhouse,"27A Hays Mews Mayfair, London W1J 5NY England",+44 20 7499 3331,4.5,44.78 - 154.27,"French, Contemporary, Fusion",,"Vegetarian Friendly, Vegan Options",,452
The Square Tavern,"26 Tolmers Square, London NW1 2PE England",+44 20 3583 8291,4.0,,"Bar, Pub","Lunch, Dinner",Vegetarian Friendly,,453
Hobson's Fish & Chips,"9 Porchester Road, London W2 5DP England",+44 20 7229 4161,4.5,9.95 - 29.86,"Seafood, European, British",,Gluten Free Options,,454
Maharaja of India,"19A Charing Cross Road, London WC2H 0ET England",+44 20 3091 3500,4.5,14.93 - 29.86,"Indian, Asian, Bar, Pub, Beer restaurants",,Vegetarian Friendly,,455
Whiskey Ginger,"2 Green Dragon Court, London SE1 9AW England",+44 20 7407 3058,4.5,4.97 - 9.95,"Bar, British",,Vegetarian Friendly,,456
Kilis Kitchen,"4 Theberton Street Angel, Islington, London N1 0QX England",+44 20 7226 5489,4.5,5.97 - 24.88,"Mediterranean, European, Turkish, Middle Eastern",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,457
Salaam Namaste,"68 Millman Street Off Guilford Street, London WC1N 3EF England",+44 20 7405 3697,4.0,14.24 - 19.78,"Indian, Asian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,458
Corrigan's,"28 Upper Grosvenor Street, London W1K 7EH England",+44 20 7499 9943,4.5,23.89 - 159.24,"Irish, British, Grill",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,459
La Saporita,"174 Tollington Park Finsbury Park, London N4 3AJ England",+44 20 7272 5040,4.5,,"Italian, Pizza, Mediterranean, European","Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options",,460
Colonel Saab,"193-197 High Holborn, London Holborn Town Hall, London WC1V 7BD England",+44 20 8016 6800,4.5,34.84 - 59.72,"Indian, International, Contemporary","Lunch, Dinner, Late Night, Drinks",,,461
Cord by Le Cordon Bleu,"85 Fleet Street, London EC4Y 1AE England",+44 20 3143 6365,4.0,25.31 - 72.79,"French, International, European","Lunch, Dinner, Drinks",,,462
Tajrish Restaurant,"33 Craven Road Bayswater, London W2 3BX England",+44 7539 172679,4.5,3.98 - 15.92,"Middle Eastern, Persian",,"Vegetarian Friendly, Vegan Options",,463
Bella Italia,"70 St. Martin's Lane, London WC2N 4JS England",+44 20 3004 4421,4.0,6.97 - 15.92,"Italian, Pizza, Mediterranean",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,464
Casa Tua King's Cross,"106 Cromer Street, London WC1H 8BZ England",+44 20 7833 1483,4.5,2.99 - 14.93,"Italian, Mediterranean, Sicilian, Southern-Italian, Apulian",,"Vegetarian Friendly, Gluten Free Options",,465
Pollen Street Social,"8-10 Pollen Street, London W1S 1NG England",+44 20 7290 7600,4.5,,"European, British","Lunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options",,466
Strada Southbank,"337-338 Belvedere Rd Royal Festival Hall, London SE1 8XX England",+44 20 7401 9126,4.0,9.95 - 24.88,"Italian, Pizza, Sicilian, Southern-Italian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,467
Maharaja of India,"19A Charing Cross Road, London WC2H 0ET England",+44 20 3091 3500,4.5,14.93 - 29.86,"Indian, Asian, Bar, Pub, Beer restaurants",,Vegetarian Friendly,,468
Carpe Diem,"1376 High Road Whetstone, London N20 9BH England",+44 20 8445 4853,5.0,,"Mediterranean, Cafe, European","Breakfast, Lunch, Brunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options",,469
Vegan Yes,"64 Brick Lane Shoreditch, London E1 6RF England",+44 7933 028570,5.0,,"Italian, Asian, Korean, Healthy, Street Food","Lunch, Dinner, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,470
10 Greek Street,"10 Greek Street, London W1D 4DH England",+44 20 7734 4677,4.5,,European,"Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options",,471
Kricket Soho,"12 Denman Street, London W1D 7HH England",+44 20 3019 8120,4.5,,"Indian, Asian","Brunch, Lunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options",,472
Pizza Pilgrims,"11 Kingly Street, London W1B 5PL England",+44 20 7287 2200,4.5,4.97 - 14.93,"Italian, Neapolitan, Campania, Southern-Italian",,"Vegetarian Friendly, Vegan Options",,473
The Restaurant at The Capital,"22-24 Basil Street Knightsbridge, London SW3 1AT England",+44 20 7591 1202,4.5,29.86 - 99.53,"British, European",,"Vegetarian Friendly, Gluten Free Options",,474
Dishoom Kensington,"4 Derry Street, London W8 5SE England",+44 20 7420 9325,4.5,2.99 - 24.88,"Indian, Asian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,475
The Gardeners Pub,"Southfields 268 Merton Road, London SW18 5JL England",+44 20 3601 2455,4.5,3.95 - 19.78,"Bar, British, Pub",,Vegetarian Friendly,,476
The Laughing Halibut,"38 Strutton Ground just south of St James Park tube station Scotland Yard exitr, London SW1P 2HR England",+44 20 7799 2844,4.5,,"Seafood, Fast Food, British","Lunch, Dinner",,"Takeout, Seating, Wheelchair Accessible, Free Wifi, Accepts Credit Cards, Table Service",477
Zaika,"1 Kensington High Street, London W8 5NP England",+44 20 7795 6533,4.5,,"Indian, Asian","Lunch, Dinner","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,478
Canada Water Cafe,"40 Victoria House 38 Surrey Quays Road, London SE16 7DX England",+44 20 3668 7518,4.5,4.97 - 39.81,"Italian, Pizza, Mediterranean",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,479
Sen Viet,"119 King's Cross Road, London WC1X 9NH England",+44 20 7278 2881,4.5,,"Asian, Vietnamese","Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options",,480
Japes,"Japes 22-25 Dean Street Soho, London W1D 3RY England",+44 7395 635765,4.5,8.96 - 17.92,"Pizza, International",,"Vegetarian Friendly, Vegan Options",,481
Cilantro,"244 Upper Richmond Road, London SW15 6TG England",+442033439317,5.0,,Indian,"Dinner, Brunch",,"Reservations, Delivery, Takeout, Seating, Street Parking, Serves Alcohol, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Family style, Non-smoking restaurants",482
Abeno,"47 Museum Street, London WC1A 1LY England",+44 20 7405 3211,4.5,,"Japanese, Asian","Lunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options",,483
Revolution America Square,"1 America Square Tower Hill, London EC3N 2LS England",+44 20 3355 7500,4.5,6.97 - 11.95,"American, Bar",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,484
Boqueria,"278 Queenstown Road, London SW8 4LT England",+44 20 7498 8427,4.5,,"Mediterranean, European, Spanish","Lunch, Dinner, Brunch, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options",,485
Nenno Pizza Restaurant,"14-16 Caledonian Road, London N1 9DU England",+44 20 7833 2790,4.5,14.93 - 29.86,"Italian, Pizza, European, Mediterranean",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,486
Sahara Grill Hounslow,"101-105 High Street Hounslow, London TW3 1QT England",+44 20 3026 1111,4.5,11.95 - 29.86,"Steakhouse, Grill, Fusion",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,487
Cacio & Pepe,"46 Churton Street, London SW1V 2LP England",+44 20 76307588,4.5,19.91 - 39.81,"Italian, Mediterranean, European, Romana, Lazio, Central-Italian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,488
Scoff And Banter Kensington,"68-86 Cromwell Road, London SW7 5BT England",+44 20 7666 1891,4.5,21.89 - 24.88,"European, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,489
Provender,"17 High Street Wanstead Wanstead, London E11 2AA England",+44 20 8530 3050,4.5,9.95 - 29.86,"French, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,490
Tia Rosa,"118 King's Cross Road, London WC1X 9DS England",+44 20 7837 5304,4.5,7.96 - 44.78,"Mediterranean, European, Portuguese, International, Grill","Lunch, Dinner, Brunch, Drinks",,,491
The Hampshire,"225-227 King Street Hammersmith, London W6 9JT England",+44 20 8748 3391,5.0,9.95 - 49.76,Indian,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,492
Satyrio Restaurant & Wine Merchants,"49 Aldgate High Street, London EC3N 1AL England",+44 20 7488 3334,4.5,14.93 - 39.81,"Italian, Mediterranean, Wine Bar",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,493
Hotaru,"145-147 Wandsworth High Street, London SW18 4JB England",+44 20 3784 0540,5.0,,"Japanese, Sushi, Asian","Lunch, Dinner, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,494
Tia Rosa,"118 King's Cross Road, London WC1X 9DS England",+44 20 7837 5304,4.5,7.96 - 44.78,"Mediterranean, European, Portuguese, International, Grill","Lunch, Dinner, Brunch, Drinks",,,495
Meat People,"4-6 Essex Road, London N1 8LN England",+44 20 7359 5361,4.5,,"Steakhouse, European, British, Argentinean","Lunch, Dinner, Brunch, Late Night","Vegetarian Friendly, Gluten Free Options",,496
Flat Iron,"44 James Street Marylebone, London W1U 1EY England",Website,5.0,9.95 - 24.88,Steakhouse,"Lunch, Dinner, Drinks",,,497
28 Church Row,"28 Church Row, London NW3 6UP England",+44 20 7993 2062,4.5,,"Italian, European, Spanish","Lunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options",,498
Chesterfield Arms,"50 Hertford Street, London W1J 7SS England",+44 20 7499 3017,4.5,14.93 - 29.86,"British, Pub","Lunch, Dinner, Drinks",,,499
Colonel Saab,"193-197 High Holborn, London Holborn Town Hall, London WC1V 7BD England",+44 20 8016 6800,4.5,34.84 - 59.72,"Indian, International, Contemporary","Lunch, Dinner, Late Night, Drinks",,,500
Las Iguanas Stratford Westfield,"Level 2 The Gallery Westfield, London E20 1ET England",+44 20 3031 7573,4.0,4.97 - 15.92,"Mexican, Brazilian, Latin, Bar, Central American",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,501
The Honest Italian,"13, Station Parade Balham High Road, London SW12 9AZ England",+44 20 8772 0636,4.5,,"Italian, Pizza","Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options",,502
Speedy's Sandwich Bar & Cafe,"187 North Gower Street Kings Cross, London NW1 2NJ England",+44 20 7383 3485,4.5,,"Cafe, British","Breakfast, Lunch, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options",,503
Sticks'n'Sushi Greenwich,"1 Nelson Road Greenwich, London SE10 9JB England",+44 20 3141 8220,4.5,19.78 - 47.47,"Japanese, Sushi, Asian, European, Healthy, Danish",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,504
Barrica,"62 Goodge Street, London W1T 4NE England",+44 20 7436 9448,4.5,14.93 - 34.84,"Mediterranean, European, Spanish",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,505
Muse,"38 Groom Place Belgravia, London SW1X 7BA England",+44 20 3301 2903,5.0,59.72 - 144.31,British,"Lunch, Dinner, Drinks",,,506
A.Wong,"70 Wilton Road, London SW1V 1DE England",+44 20 7828 8931,4.5,,"Chinese, Asian","Lunch, Dinner","Vegetarian Friendly, Gluten Free Options",,507
Shah Tandoori,"159 Drummond Street, London NW1 2PB England",+44 20 7383 5677,4.5,9.95 - 34.84,"Indian, Balti, Bangladeshi, Asian, Street Food",,"Vegetarian Friendly, Vegan Options, Gluten Free Options, Halal",,508
Visconti Of Westminster,"Marsham Court Marsham Street, London SW1P 4LA England",+44 20 8191 1781,5.0,17.92 - 51.76,"Italian, Bar, Mediterranean, Pub, Central-Italian, Southern-Italian","Lunch, Dinner, Drinks",,,509
Bombay Spice,"50 Paddington Street, London W1U 4HP England",+44 20 7224 0954,4.5,,"Indian, Balti, Bangladeshi","Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,510
Spice Village Tooting,"121 Upper Tooting Road, London SW17 7TJ England",+44 20 8672 0710,4.0,14.93 - 34.84,"Asian, Pakistani, Grill",,"Vegetarian Friendly, Vegan Options, Halal",,511
The Square Tavern,"26 Tolmers Square, London NW1 2PE England",+44 20 3583 8291,4.0,,"Bar, Pub","Lunch, Dinner",Vegetarian Friendly,,512
